,Release_Date,Title,Production_Budget,Domestic_Gross,Worldwide_Gross
680,12/10/2003,Big Fish,70000000,66432867,123954323
681,6/17/1994,Wolf,70000000,65011757,131011757
682,1/20/2012,Underworld: Awakening,70000000,62321039,160379930
683,9/22/2017,The Lego Ninjago Movie,70000000,59281555,122769776
684,10/10/2014,Dracula Untold,70000000,55991880,220241723
685,9/29/2006,The Guardian,70000000,55011732,94973540
686,8/9/1989,The Abyss,70000000,54243125,54243125
687,9/24/2010,Wall Street 2: Money Never Sleeps,70000000,52474616,137431619
688,1/14/2011,The Dilemma,70000000,48475290,70546865
689,12/25/2005,Rumor Has It,70000000,42996140,88933562
690,11/6/1998,The Siege,70000000,40934175,116625798
691,8/10/2007,Stardust,70000000,38634938,137022245
692,6/15/2012,Rock of Ages,70000000,38518613,61031932
693,10/8/1997,Seven Years in Tibet,70000000,37945884,131445884
694,9/17/2004,Sky Captain and the World of Tomorrow,70000000,37760080,49730854
695,11/1/2002,I Spy,70000000,33561137,60279822
696,6/7/2002,Bad Company,70000000,30157016,69157016
697,10/21/2005,Doom,70000000,28212337,54612337
698,1/29/2016,The Finest Hours,70000000,27569558,49252761
699,10/18/2013,Escape Plan,70000000,25135965,103735965
700,9/23/2011,Killer Elite,70000000,25124986,65409046
701,1/16/1998,Hard Rain,70000000,19870567,19870567
702,2/15/2002,Hart's War,70000000,19076815,33076815
703,2/8/2002,Rollerball,70000000,18990542,25852508
704,1/10/2014,The Legend of Hercules,70000000,18848538,58953319
705,9/20/2002,Ballistic: Ecks vs. Sever,70000000,14294842,14294842
706,8/10/2001,Osmosis Jones,70000000,13596911,13596911
707,5/9/2014,Legends of Oz: Dorothyâs Return,70000000,8462347,20107933
708,1/16/2015,Blackhat,70000000,8005980,19665004
709,3/31/2006,Basic Instinct 2,70000000,5946136,35417162
710,5/28/2010,Agora,70000000,619423,38992292
711,7/9/2010,Despicable Me,69000000,251513985,543495033
712,7/30/2010,Dinner for Schmucks,69000000,73026337,86796502
713,3/2/2018,Red Sparrow,69000000,46874505,145951861
714,6/30/2010,The Twilight Saga: Eclipse,68000000,300531751,706102828
715,5/31/2002,The Sum of All Fears,68000000,118471320,193500000
716,6/26/2015,Ted 2,68000000,81476385,217214143
717,7/13/2001,The Score,68000000,71069884,113542091
718,2/25/2011,Hall Pass,68000000,45060734,87173475
719,11/22/1995,Money Train,68000000,35324232,77224232
720,3/21/2003,Dreamcatcher,68000000,33685268,75685268
721,8/6/1999,Mystery Men,68000000,29762011,33462011
