week,topicnumber,content
124,4,135.0
125,0,322.0
125,13,39.0
125,16,59.0
125,5,66.0
125,7,84.0
125,4,114.0
125,15,234.0
125,19,78.0
125,11,14.0
125,2,149.0
126,15,171.0
126,19,70.0
126,5,47.0
126,11,39.0
126,16,45.0
126,4,98.0
126,2,136.0
126,13,38.0
126,0,243.0
126,7,72.0
127,5,134.0
127,11,44.0
127,15,346.0
127,0,690.0
127,2,200.0
127,19,142.0
127,13,71.0
127,7,265.0
127,16,81.0
127,4,565.0
128,7,248.0
128,13,189.0
128,0,1076.0
128,15,682.0
128,11,99.0
128,19,206.0
128,16,133.0
128,5,188.0
128,4,491.0
128,2,313.0
129,2,59.0
129,13,15.0
129,19,15.0
129,16,21.0
129,4,40.0
129,11,43.0
129,7,31.0
129,15,94.0
129,0,70.0
129,5,17.0
130,4,115.0
130,5,51.0
130,15,142.0
130,19,50.0
130,0,282.0
130,7,197.0
130,13,20.0
130,16,23.0
130,11,11.0
130,2,119.0
131,16,22.0
131,19,23.0
131,5,25.0
131,11,10.0
131,13,36.0
131,0,222.0
131,2,101.0
131,15,138.0
131,4,39.0
131,7,144.0
132,5,35.0
132,4,94.0
132,13,10.0
132,16,24.0
132,19,35.0
132,7,79.0
132,2,59.0
132,11,16.0
132,15,112.0
132,0,133.0
133,2,83.0
133,15,139.0
133,5,74.0
133,0,254.0
133,7,110.0
133,13,52.0
133,19,75.0
133,11,22.0
133,16,29.0
133,4,133.0
134,16,241.0
134,7,307.0
134,5,239.0
134,15,872.0
134,19,196.0
134,13,213.0
134,0,933.0
134,2,667.0
134,11,111.0
134,4,302.0
135,16,1018.0
135,7,1823.0
135,19,912.0
135,0,4062.0
135,15,4265.0
135,11,558.0
135,4,1950.0
135,13,733.0
135,5,1942.0
135,2,3049.0
136,11,906.0
136,0,7158.0
136,4,3154.0
136,19,1802.0
136,13,4387.0
136,7,2737.0
136,5,1872.0
136,16,3317.0
136,2,4134.0
136,15,8789.0
137,13,892.0
137,16,5110.0
137,7,1984.0
137,11,674.0
137,2,4176.0
137,15,12318.0
137,0,7387.0
137,5,1435.0
137,19,1317.0
137,4,1853.0
138,7,190.0
138,5,85.0
138,16,40.0
138,0,691.0
138,2,214.0
138,11,10.0
138,13,89.0
138,15,654.0
138,4,117.0
138,19,100.0
139,5,288.0
139,13,264.0
139,19,372.0
139,7,277.0
139,16,113.0
139,11,21.0
139,2,243.0
139,15,1163.0
139,4,406.0
139,0,986.0
140,16,36.0
140,15,730.0
140,19,282.0
140,4,427.0
140,5,192.0
140,11,45.0
140,7,284.0
140,0,754.0
140,2,290.0
140,13,403.0
141,16,158.0
141,11,81.0
141,2,468.0
141,19,408.0
141,0,612.0
141,5,182.0
141,13,229.0
141,15,866.0
141,7,335.0
141,4,786.0
142,2,598.0
142,13,348.0
142,5,357.0
142,11,50.0
142,0,961.0
142,4,455.0
142,15,374.0
142,16,99.0
142,7,200.0
142,19,1319.0
143,11,0.0
143,4,276.0
143,0,821.0
143,16,156.0
143,2,639.0
143,19,3306.0
143,15,520.0
143,5,149.0
143,13,217.0
143,7,172.0
144,4,317.0
144,16,103.0
144,19,1050.0
144,13,121.0
144,2,382.0
144,5,99.0
144,0,622.0
144,7,269.0
144,11,151.0
144,15,898.0
145,13,171.0
145,0,823.0
145,15,650.0
145,11,25.0
145,19,1401.0
145,4,682.0
145,16,98.0
145,7,176.0
145,2,483.0
145,5,197.0
146,7,245.0
146,13,50.0
146,0,916.0
146,19,975.0
146,5,457.0
146,15,469.0
146,2,281.0
146,16,126.0
146,11,3.0
146,4,560.0
147,5,1.0
147,2,10.0
147,13,2.0
147,16,6.0
147,11,1.0
147,4,13.0
147,0,14.0
147,7,6.0
147,19,12.0
