author,account_category,followers
NISANURCERAN20,LeftTroll,280
ANAAISLEC,RightTroll,276
STERRSAM,RightTroll,273
LOGAN_WHATSUP,RightTroll,265
ANAALESSIS,RightTroll,264
ARIEENSLPE,RightTroll,263
MONMONICA23,HashtagGamer,259
WILLJOHNYOLO,LeftTroll,255
KALVINNUTZZZ,LeftTroll,254
ROCKTHEMICRO,HashtagGamer,251
WILDHAREE,HashtagGamer,248
ANGEELISTR,RightTroll,245
MICPARRISH,RightTroll,242
ANDRISNABRT,RightTroll,240
ANNIJONSTR,RightTroll,239
COLBYST1,RightTroll,234
AMBERRPAR,RightTroll,234
AMELINAASTR,RightTroll,234
JAEDENMASSEY,LeftTroll,228
OMAR_MANSURI_1,LeftTroll,228
TYPICALMURICA,Unknown,227
MACNEILLTONI,RightTroll,224
FLISSFLOWERS,Unknown,221
MELLYBARTON,RightTroll,217
AFIFYAMIRA1,LeftTroll,215
SUMMERHANDY,Unknown,213
AYLEENSCLAR,RightTroll,211
DANNY_TURNER_1,RightTroll,209
VANNYGREER,Unknown,208
GUILLNAVARRETE,RightTroll,205
MRT_EVRT,RightTroll,203
ANASTASSITR,RightTroll,202
BIZGOD,Commercial,194
ANISILOPE,RightTroll,193
ARM_2_ALAN,RightTroll,191
BARRLAUTRS,RightTroll,190
ANCARICTRS,RightTroll,188
ANISACRRUTR,RightTroll,186
TX_INDEPENDENCE,RightTroll,182
ANGTHEESTR,RightTroll,181
JONACOLLETTE,HashtagGamer,180
ANDRREETRT,RightTroll,173
BR_MC_NEIL,Unknown,172
AMYYSLEGENTR,RightTroll,172
LGBTRALLY,LeftTroll,170
_RUBY_WILLS_,RightTroll,169
AMIISTRS,RightTroll,167
CHRIS_SHARP_II,Unknown,167
BAMMBJOLTR,RightTroll,166
PERCY_RIDDLE,RightTroll,165
RACHDURANT,Unknown,163
WARRENPORT,Unknown,160
KRISTEEN_BROWN,Unknown,159
BLAMEYOURRSELF,HashtagGamer,158
PEEONHILLARY,RightTroll,156
AMIYAHSAMUELS,RightTroll,156
CRYSTAL_JOHNS0N,LeftTroll,154
ALLFORPETERSONS,LeftTroll,153
LINDDDAAAD,RightTroll,150
SAVYHURT,RightTroll,150
BETTIEEVANZ,Unknown,149
RAYEWHALEN,RightTroll,148
JENNINGSL524,Unknown,145
TOURETTESN,Unknown,144
WARRIORS_AZTLAN,LeftTroll,143
JANELOUISMILLER,Unknown,142
SHIELDSCLINT,RightTroll,140
BELINDA_BOURG,Unknown,140
DARRELL_H_HUNT,RightTroll,138
ASHLEEYWES,RightTroll,137
EDMUNDC0OKE,RightTroll,136
AZUUMARSS,RightTroll,136
BLACKTIVISTDAVE,LeftTroll,135
JUSTICE4ALTON,LeftTroll,135
PHILLYOTERO,RightTroll,134
ANDEERLWR,RightTroll,132
BARBIELEWISS,RightTroll,129
ALVA_MC_GHEE,Unknown,126
KATEDEBROOK,RightTroll,125
JAMHARRIS_,RightTroll,124
T0NYACRAWFORD,RightTroll,124
DELVECCHIOJ1,Unknown,123
ANNAMINGT,RightTroll,121
SHAKURUSUF,Unknown,121
BEVERLYBALSOM,Fearmonger,120
CARLOSSAMANOS,RightTroll,120
ARYANNAJ0NES,HashtagGamer,119
J_CL_K,Unknown,119
CALEBROBBNS,RightTroll,119
CAMILEISDAMNHOT,RightTroll,117
AURRLISTR,RightTroll,117
DRGREGORYWEST,RightTroll,116
ANGELOENOUGH,RightTroll,115
EVANNMOSSS,RightTroll,114
MATISQUAREPANTS,Unknown,114
ANTHONYWOODBOY,RightTroll,113
JONATHANDOTNET,LeftTroll,113
VIRGILSSMITH,RightTroll,113
PATRICIADRYS,RightTroll,113
SPENDING_GOV,RightTroll,113
ADAM_MATHISSS,RightTroll,112
RANDALL_COOKE,RightTroll,112
DAUMOA,LeftTroll,111
BERT_HENLEY,Unknown,110
JAWORSKIKATRINA,RightTroll,110
JIMWAZZUP,LeftTroll,110
ACAPARELLA,RightTroll,110
ATIF_SHAIKH_ME,LeftTroll,109
DEBBSFARRELL,RightTroll,108
BEREHAYYTR,RightTroll,108
SECRETREPORTT,RightTroll,107
CECILDUKES,RightTroll,107
JOSEPH_JENKS,RightTroll,106
HUSEINALJABBER,Unknown,105
DESERTQUEENOH,Fearmonger,104
SOLER_MCH,Unknown,103
ZOLLIELEMON,RightTroll,103
KATTYYGEORGE,RightTroll,102
ROSSHELLYEAH,RightTroll,101
EVBOWMAN,RightTroll,100
FRANCLANDEROS,HashtagGamer,100
EDDIEALONZ0,RightTroll,100
JYOTIRDHARREDDY,RightTroll,100
NOTYOURLILLY,Unknown,98
RHODYROLLIN,RightTroll,98
GABIJENSEN91,Fearmonger,96
NICCOLOBRILLA,RightTroll,95
GEPADIKULAXE,Fearmonger,95
BEINGSWARTZ,RightTroll,94
PITTSESTE,RightTroll,94
PROJECTLANDY,Unknown,93
F_HANKARD,Unknown,93
COMEANDGETITAAW,Unknown,93
SINDYBLOSSOM,Unknown,93
DONNIMUSIL,RightTroll,93
KZUNIGA26,Unknown,92
CHEONGMAI,Fearmonger,92
WHOCARES423,RightTroll,92
LOOKATMEZERO,RightTroll,92
ISMAILGAFUR1,Unknown,91
_RONBEN,RightTroll,91
LIZAHASJUST,RightTroll,90
HARRYTHEFATHER,RightTroll,90
RYANNCOOPERWOOD,Fearmonger,90
HARVEYRYAN92,Fearmonger,90
PAMELLAMAYBANK,Unknown,89
PETAROBBIE,RightTroll,88
ALFREDBENBEN,RightTroll,88
HAWORYMYHAK,Fearmonger,88
TAMAFLAN,RightTroll,88
LESSMCPH,RightTroll,88
PENNYSIMM,RightTroll,88
BENJIALYSSA,LeftTroll,87
KIRKSEYSUSANNA,Unknown,87
KARLGOLDEARL,RightTroll,87
YOUKNOWJILLIAN,Unknown,87
CHERRYCHERYLFIN,Unknown,86
RIKASBAR,RightTroll,86
T0NY_0BRIEN,RightTroll,86
JEFFREYRAYMAY,LeftTroll,86
HENY_AMBERH,Fearmonger,85
LESLIE_FAULK,HashtagGamer,85
BACONTONIA,RightTroll,84
ZAKIALQADIR,Unknown,84
CAITLINMILLSYUP,Fearmonger,84
SM_DOWNEY,RightTroll,84
JAYBRND,RightTroll,84
ELISAAGREG,RightTroll,84
ANG__BOWERS,RightTroll,84
DADDILAZARUS,RightTroll,83
SOFIATACKLES,LeftTroll,83
SAMCHATMANNN,Fearmonger,83
MABLE_LANDRY,LeftTroll,83
SEANROY1984,RightTroll,83
WADEBINTOU,LeftTroll,83
MRMUSTACHEE,RightTroll,82
ANFRAIZER,RightTroll,82
AMYMUSICLL,RightTroll,82
DOUGGIEMAESTAS,RightTroll,82
WECONQUERWORLD,RightTroll,82
AN_N_GASTON,RightTroll,81
AMAMCAMCAM,RightTroll,81
BRONICKIJEWEL,RightTroll,81
VANWHITEBIRCHN,RightTroll,81
HOWMARCELLA,LeftTroll,81
STANLEY_SPIVEY,Unknown,81
GERTY_HAWA,Fearmonger,81
ELLAWONDERGIRL,RightTroll,81
GRACIE_____55,Unknown,81
NOTHING8SPECIAL,RightTroll,81
ALIZASSHIELD,RightTroll,81
RONICK_KK,RightTroll,80
BAYOFTAMARA,RightTroll,80
BETTERTHANYOU_U,RightTroll,80
KEVINNOTBROOKS,RightTroll,80
LARAPALMER23,LeftTroll,80
HEYITSGLOR,RightTroll,80
KIRSTENLADANIEL,RightTroll,80
DEBRA_STERN_,RightTroll,80
KYLES0CCER,RightTroll,79
MAD_BENJAMI,Unknown,79
AN_NA__AN,RightTroll,79
PAMPAMONEIL,RightTroll,79
JAMIESAMY,RightTroll,79
VICKYLOVELYG,RightTroll,79
MAHAFFEYSUSANN,Unknown,78
CAM_EVSSS,LeftTroll,78
