author,account_category,tweets
RESISTERSUNION,LeftTroll,307
JENNATRAVELLER,Unknown,302
FLOYDSWENSON555,Fearmonger,295
MARIATRUMPT,RightTroll,295
ANASTASSITR,RightTroll,293
EURYNMCCOLLEY,HashtagGamer,290
BAMMBJOLTR,RightTroll,285
THETRAINGUY13,RightTroll,284
ACAB_ZONE,LeftTroll,279
SKWAD55_LABEL,LeftTroll,276
ANCARICTRS,RightTroll,273
VA_BLACKNEWS,LeftTroll,262
GERTY_HAWA,Fearmonger,261
COLBYST1,RightTroll,257
ANGELISTRR,RightTroll,255
DALTONWOOD14,HashtagGamer,252
DESERTQUEENOH,Fearmonger,238
POLICESTATEME,LeftTroll,230
BEAUTYMERCELA,RightTroll,228
POLIGRAPHME,Unknown,228
JENNYHUTCH31,HashtagGamer,228
ALFREDTHREE,RightTroll,224
EDDIEALONZ0,RightTroll,223
GUNS4LIFE_ME,RightTroll,222
NANAJDAWSON,HashtagGamer,222
NEWYORKDEM,LeftTroll,221
HERNAMEISCUTIE,HashtagGamer,220
ISABEL_STAFF,RightTroll,219
INST_VETS,RightTroll,215
HENY_AMBERH,Fearmonger,212
DORTHYSHARRER,Fearmonger,211
ELMA_ELMAMA,RightTroll,210
ARIAANST,RightTroll,209
PERCY_RIDDLE,RightTroll,208
CHRISTINACRISSS,RightTroll,208
DYBAIGWEN,Fearmonger,207
SSABRINAHUH,RightTroll,206
PAIGE_JAM,RightTroll,204
VANNYGREER,Unknown,203
GAGYSOKEFUV,Fearmonger,203
TAMMY_TAMH,Fearmonger,198
LORETTAPJ3,HashtagGamer,197
DOYRANDO,Fearmonger,196
LEXXX_TH,HashtagGamer,196
ISA_BELLA_GR,RightTroll,194
LARAHARRRRISON,RightTroll,194
DRGREGORYWEST,RightTroll,194
NEVERLIET0ME,NewsFeed,193
BRANDNEWJENNA,HashtagGamer,189
SINDYBLOSSOM,Unknown,188
LOLA_AYERS_,RightTroll,187
GLADADILA,Fearmonger,183
RADEKESOFIA,Fearmonger,183
EVBOWMAN,RightTroll,183
BERRNICTRR,RightTroll,182
AMIYAHSAMUELS,RightTroll,181
BETTIEEVANZ,Unknown,181
NATATURN,LeftTroll,181
TOLLIVERSTEPH,Fearmonger,180
CHARLESRESPECK,LeftTroll,180
SUMMERHANDY,Unknown,179
EVANNMOSSS,RightTroll,177
WILLIAMS_DIANA_,RightTroll,177
SOPHIEKOLE,HashtagGamer,176
BEVERLYBALSOM,Fearmonger,175
GABIJENSEN91,Fearmonger,172
GEPADIKULAXE,Fearmonger,171
HELEN1HELEN1,HashtagGamer,171
ANTIEHARMON,HashtagGamer,169
LOOKATMEZERO,RightTroll,168
RANDALL_COOKE,RightTroll,168
LINDDDAAAD,RightTroll,167
SUNSANB,Fearmonger,165
BEETTYBECKS,RightTroll,165
BARELYBARBOZA,Fearmonger,165
HARVEYRYAN92,Fearmonger,161
KATEDEBROOK,RightTroll,161
RACHDURANT,Unknown,160
SHINEPHILLIPS,Fearmonger,160
EVANS_TAB,RightTroll,158
MAORBRIGHTIE,RightTroll,158
ANISSNOVOTR,RightTroll,158
AGNESGRHM,HashtagGamer,158
EMMETTMTH,RightTroll,157
JUSTBE_MINE,Fearmonger,156
ELLISHARM0N,HashtagGamer,153
SIENNASMM,Fearmonger,152
AMBBERTHTT,RightTroll,152
