,Release_Date,Title,Production_Budget,Domestic_Gross,Worldwide_Gross
873,8/27/1999,A Dog of Flanders,7000000,2165637,2165637
874,10/18/2002,Auto Focus,7000000,2062066,2703821
875,10/21/2011,The Mighty Macs,7000000,1891936,1891936
876,12/22/2010,Somewhere,7000000,1785645,17023121
877,1/13/2012,We Need to Talk About Kevin,7000000,1738692,10765283
878,2/2/2007,Factory Girl,7000000,1661464,1661464
879,11/15/2013,The Christmas Candle,7000000,1632000,1933829
880,9/25/2009,I Hope They Serve Beer in Hell,7000000,1429299,1429453
881,4/8/1983,Losin' It,7000000,1246141,1246141
882,5/7/2010,Mother and Child,7000000,1110509,6537179
883,8/5/1977,March or Die,7000000,1000000,1000000
884,7/12/1996,Les Visiteurs,7000000,659000,98754000
885,10/2/2015,Freeheld,7000000,546201,1732228
886,4/2/2014,Dom Hemingway,7000000,523511,1857458
887,7/30/2010,The Extra Man,7000000,453377,492108
888,5/13/2011,Hesher,7000000,382946,382946
889,3/13/1998,Chairman of the Board,7000000,306715,306715
890,2/14/2003,Gerry,7000000,254683,719699
891,5/12/2006,Wah-Wah,7000000,234750,463039
892,6/13/2003,The Heart of Me,7000000,196067,196067
893,3/26/2010,Ca$h,7000000,46488,46488
894,1/30/2015,Trudno byt bogom,7000000,31443,35919
895,1/21/2000,The Boondock Saints,7000000,30471,411874
896,1/28/2014,Snezhnaya koroleva,7000000,0,15201202
897,12/6/2016,Oddball,7000000,0,10237229
898,8/18/2015,Z Storm,7000000,0,2053330
899,12/31/2015,ÐÐÐ ÐÐ,7000000,0,1391410
900,7/23/2013,Twixt,7000000,0,1268346
901,11/20/2015,Criminal Activities,7000000,0,386744
902,12/11/2007,High School Musical 2,7000000,0,0
903,12/12/2008,The Kings of Appletown,7000000,0,0
904,3/11/2008,Stargate - The Ark of Truth,7000000,0,0
905,9/1/2015,Alpha & Omega: The Legend of the Saw Tooth Cave,7000000,0,0
906,6/28/1985,Pale Rider,6900000,41410568,41410568
907,9/21/2012,House at the End of the Street,6900000,31611916,44103982
908,9/24/1993,Dazed and Confused,6900000,7950889,7950889
